,date,latitude,longitude,depth,magnitude,magnitude type,place
38,1985-01-09T19:28:21+0000,60.319,-140.625,15.0,5.1,M5,144 km SW from Destruction Bay
302,1985-03-23T11:58:06+0000,49.103,-128.53,10.0,4.4,MB,162 km SW from Port Alice
328,1985-03-30T08:44:29+0000,73.248,-71.252,18.0,4.1,MN,229 km E  from Pond Inlet
345,1985-04-04T06:37:31+0000,54.067,-133.448,18.0,4.2,ML,85 km W  from Masset
402,1985-04-26T04:40:38+0000,51.079,-131.559,10.0,4.0,ML,203 km S  from Sewell Inlet
759,1985-08-02T13:41:44+0000,60.172,-140.978,8.0,4.4,ML,169 km SW from Destruction Bay
773,1985-08-06T13:53:34+0000,49.255,-116.846,18.0,4.0,ML,SOUTHERN BRITISH COLUMBIA. Felt
788,1985-08-09T17:12:42+0000,64.324,-135.005,18.0,4.0,ML,49 km N  from Keno Hill
880,1985-08-30T21:38:04+0000,41.888,-54.127,18.0,4.1,ML,592 km S  from Marystown
883,1985-08-31T06:58:38+0000,60.12,-140.932,10.0,4.4,ML,172 km SW from Destruction Bay
925,1985-09-10T08:30:13+0000,47.75,-128.769,10.0,4.5,MB,273 km SW from Ucluelet
944,1985-09-15T01:28:17+0000,59.141,-136.528,2.0,5.4,ML,154 km SW from Carcross
1040,1985-09-30T23:08:19+0000,50.78,-130.15,10.0,4.2,MB,187 km W  from Port Hardy
1088,1985-10-05T15:24:02+0000,62.208,-124.217,6.0,6.6,MS,122 km S  from Wrigley
1089,1985-10-05T15:58:23+0000,62.19,-124.24,10.0,4.2,ML,125 km S  from Wrigley
1090,1985-10-05T16:00:47+0000,62.19,-124.24,10.0,4.1,ML,125 km S  from Wrigley
1098,1985-10-05T17:31:30+0000,61.859,-124.172,10.0,4.2,ML,101 km NW from Nahanni Butte
1099,1985-10-05T17:32:41+0000,62.214,-124.345,10.0,4.3,MN,124 km S  from Wrigley
1104,1985-10-05T18:15:13+0000,62.058,-124.283,10.0,4.0,MN,124 km N  from Nahanni Butte
1110,1985-10-05T19:07:39+0000,62.01,-124.259,10.0,4.3,MN,119 km NW from Nahanni Butte
1111,1985-10-05T19:13:57+0000,62.062,-124.27,10.0,4.1,MN,124 km N  from Nahanni Butte
1112,1985-10-05T19:42:57+0000,62.105,-124.257,10.0,4.1,MN,128 km N  from Nahanni Butte
1128,1985-10-06T01:15:31+0000,62.059,-124.291,10.0,5.5,ML,LARGEST AFTERSHOCK. Felt
1129,1985-10-06T01:22:50+0000,62.035,-124.257,10.0,4.2,MN,121 km N  from Nahanni Butte
1130,1985-10-06T02:16:19+0000,61.965,-124.226,10.0,4.3,MN,113 km NW from Nahanni Butte
1138,1985-10-06T12:52:05+0000,79.941,-114.872,18.0,4.8,ML,268 km NW from Isachsen
1141,1985-10-06T14:01:28+0000,62.032,-124.25,10.0,4.0,MN,121 km N  from Nahanni Butte
1193,1985-10-09T16:28:39+0000,62.276,-124.351,10.0,4.0,MN,117 km S  from Wrigley
1205,1985-10-10T08:52:45+0000,62.108,-124.19,10.0,4.5,MN,127 km N  from Nahanni Butte
1234,1985-10-12T21:12:19+0000,62.211,-124.398,10.0,4.4,MN,125 km S  from Wrigley
1235,1985-10-12T21:14:37+0000,62.301,-124.386,10.0,4.5,MN,115 km S  from Wrigley
1236,1985-10-12T21:15:49+0000,62.19,-124.24,10.0,4.6,MN,125 km S  from Wrigley
1237,1985-10-13T04:23:12+0000,61.978,-124.262,10.0,4.3,MN,115 km NW from Nahanni Butte
1238,1985-10-13T17:16:43+0000,62.32,-124.209,10.0,4.2,MN,110 km S  from Wrigley
1249,1985-10-14T23:20:22+0000,62.093,-124.261,10.0,4.2,MN,MACKENZIE MOUNTAINS
1265,1985-10-16T18:45:11+0000,62.109,-124.339,10.0,4.5,MN,MACKENZIE MOUNTAINS
1280,1985-10-19T10:07:44+0000,41.206,-73.981,18.0,4.1,MN,391 km SE from Gananoque
1284,1985-10-21T12:42:55+0000,62.054,-124.319,10.0,4.8,MN,124 km NW from Nahanni Butte
1307,1985-10-24T23:13:40+0000,53.835,-131.488,18.0,4.1,ML,48 km SE from Masset
